Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
WS18-055-01,1,UK,51.59,-1.12,17/12/2018,0,0,0,0,0,21,urban,10.7153101
WS18-055-02,2,UK,51.59,-1.12,17/12/2018,1,1,0,0,1,21,urban,10.7153101
WS18-046-01,1,UK,51.60,-1.12,19/12/2018,0,0,0,0,0,21,urban,10.13189507
WS18-046-02,2,UK,51.60,-1.12,19/12/2018,0,0,0,0,0,21,urban,10.13189507
WS18-138-01,1,UK,51.60,-1.12,20/12/2018,0,0,0,0,0,21,urban,12.51148129
WS18-138-02,2,UK,51.60,-1.12,20/12/2018,0,0,0,0,0,21,urban,12.51148129
WS18-158-02,2,UK,51.60,-1.11,17/12/2018,1,1,0,0,1,20,urban,10.70566177
WS18-158-01,1,UK,51.60,-1.11,17/12/2018,0,0,0,0,0,20,urban,10.70566177
WS18-015-02,2,UK,51.60,-1.11,17/12/2018,0,0,0,0,0,20,urban,10.70566177
WS18-016-02,2,UK,51.60,-1.11,18/12/2018,2,1,0,0,1,20,urban,10.00495243
WS18-144-01,1,UK,52.93,-1.10,17/12/2018,2,1,0,0,1,21,urban,10.52529907
WS18-015-01,1,UK,51.66,-1.07,17/12/2018,0,0,0,0,0,21,urban,10.45998478
WS18-005-01,1,UK,51.64,-1.01,17/12/2018,1,1,0,0,1,3,rural,10.3196106
WS18-068-01,1,UK,54.25,-0.99,17/12/2018,0,0,0,0,0,4,rural,8.972495079
WS18-002-02,2,UK,51.42,-0.99,17/12/2018,0,0,0,0,0,20,urban,10.8046608
WS18-118-01,1,UK,51.51,-0.98,28/12/2018,0,0,0,0,0,21,urban,9.800444603
WS18-065-01,1,UK,51.45,-0.95,assume17/12/2018,4,1,0,0,1,20,urban,10.64101124
WS18-065-02,2,UK,51.43,-0.94,assume17/12/2018,0,0,0,0,0,21,urban,10.4538517
WS18-163-01,1,UK,50.85,-0.93,22/12/2018,1,1,0,0,1,21,urban,11.15418911
WS18-163-02,2,UK,50.85,-0.93,22/12/2018,0,0,0,0,0,21,urban,11.15418911
WS18-020-01,1,UK,51.48,-0.86,17/12/2018,0,0,0,0,0,21,urban,10.63458633
WS18-020-02,2,UK,51.48,-0.86,17/12/2018,0,0,0,0,0,21,urban,10.63458633
WS18-074-02,2,UK,51.10,-0.85,20/12/2018,0,0,0,0,0,21,urban,12.99173737
WS18-074-01,1,UK,51.10,-0.85,20/12/2018,0,0,0,0,0,21,urban,12.99173737
WS18-128-01,1,UK,51.71,-0.84,18/12/2018,5,1,0,0,1,21,urban,9.380949974
WS18-021-01,1,UK,51.42,-0.82,17/12/2018,2,1,0,0,1,21,urban,10.44482327
WS18-123-01,1,UK,52.00,-0.80,17/12/2018,1,1,0,0,1,21,urban,9.89372921
WS18-128-02,2,UK,51.79,-0.80,18/12/2018,6,1,0,0,1,20,urban,9.680671692
WS18-075-02,2,UK,51.79,-0.80,19/12/2018,0,0,0,0,0,20,urban,9.02532196
WS18-075-01,1,UK,51.80,-0.78,19/12/2018,2,1,0,0,1,21,urban,9.033756256
WS18-123-02,2,UK,52.00,-0.77,17/12/2018,0,0,0,0,0,21,urban,10.12735462
WS18-005-02,2,UK,51.61,-0.77,17/12/2018,0,0,0,0,0,20,urban,9.655901909
WS18-002-01,1,UK,51.30,-0.76,17/12/2018,0,0,0,0,0,21,urban,10.60722828
WS18-017-01,1,UK,51.49,-0.70,17/12/2018,0,0,0,0,0,21,urban,10.68523407
WS18-017-02,2,UK,51.49,-0.70,17/12/2018,3,1,0,0,1,21,urban,10.68523407
WS18-109-01,1,UK,52.38,-0.69,20/12/2018,0,0,0,0,0,21,urban,11.53260612
WS18-109-02,2,UK,52.36,-0.67,20/12/2018,0,0,0,0,0,21,urban,11.3952198
WS18-045-01,1,UK,52.90,-0.66,20/12/2018,5,1,1,1,2,21,urban,9.687752724
WS18-045-02,2,UK,52.90,-0.65,20/12/2018,4,1,1,1,2,21,urban,9.723694801
WS18-021-02,2,UK,51.40,-0.63,17/12/2018,0,0,0,0,0,21,urban,10.423172
WS18-026-02,2,UK,51.70,-0.61,17/12/2018,2,1,0,0,1,20,urban,9.718436241
